NAME,DESCRIPTION,Name_cluster,Desc_cluster,
CYBERLIFE ILLINOIS,CyberLife gives organizations a competitive edge by reducing costs improving productivity and accelerating speed to market for new products.,,,
CYBERLIFE NEBRASKA,CyberLife gives organizations a competitive edge by reducing costs improving productivity and accelerating speed to market for new products.,,,
CyberLife STP 0701 Supporting Technologies,Supporting components for Cyberlife STP middleware product,,,
CyberLife Strategic Technology Program (STP) 0701,CSC's current middleware solution,,,
CYBERLIFE SURETY,(See PARENT application),,,
CYCLE MISCELLANEOUS,Reading various Cxx files from cycle and producing files for Cycle Utilities and Claim Reports. Performs other miscellaneous activities primarily related to Cycle versus CTS.,,,
Cyclone Activator,Windows application to download personal trades information fin batch mode from Fedility for Pretrade clearance process.,,,
D2D (Data 2 Decisions),"Data to Decisions (D2D) is a web-based application that delivers executive and managerial reports to a user's desktop in a more timely and consistent manner. D2D has many sections: Home, Watchlist, Company, Industry, Foreign, Asset Lookup",,,
Daily Transaction Upload,Application that uploads the daily transactions.,,,
DASH,"DASH (Dynamic Agency Sales Hub) is an application that provides sales and compensation related information (reports, dashboards, data feeds) to agents, field sales leaders, controllers and home office users.",,,
Data Administration System,The objective of this application is to make data changes to the different tables in different dB schemas in a controlled way. This is a .Net application with Oracle as the backend database,,,
DATA BASE CHANGE REQUEST TOOL,This is a web based request processing work flow tool. It used by Data Team to gather request from the customer and update the status of the request till it is completed. It is developed using C#.net and SQL Server database.,,8,
Data on Demand,"The enterprise-wide clearinghouse supporting any external data order. Current support includes: PLIS, Credit, MVR, ALIS and CCDB",,8,
DATA SOLUTIONS A LA CARTE,"The 4 A La Carte systems: Auto, Property, Claims and Commercial make up this application. Please reference the individual apps for further information. Also includes protection CICS mainframe trasnactions - DWHD and DWHM",,,
DATA SOLUTIONS BATCH,"This application polls Allstate systems for batch external data orders and combines orders into a single flatfile and sends the flatfile to Acxiom for processing. Acxiom will return a flatfile of responses and the """"Data Solutions-Batch"""" will split the file into pieces for each requesting system and output the results to each system.",,,
DATA SOLUTIONS EXTERNAL DATA,Charge back entry for Data Solutions,,,
DATA SOLUTIONS INTERACTIVE,"Includes mainframe CICS transactions running on Protection Premium Onlines - DWAG, DWAX, DWC1, DWER, DWFS, DWNI, DWON, DWQ#, DWTD, DWUT and DWZZ",,,
DATA SOLUTIONS UNUSED,Includes mainframe CICS transactions: DWEx and DWQx running on protection Premium onlines,,8,
DATA SOLUTIONS WEB PAGE,"Client front end to access external vendor links, reports and product info.",,,
DATA STAGING AND RETRIEVAL,"Gather Alstar transactions that has been marked as ""completed"" by the agent. Balance the $amount associated with the agent. ""Check-in"" completed transactions. Mark erroneous transactions as status '10'. Also,gather ""do not solicit"" data and FCRA data. XCOM all the data to the mainframe for host processing",,,
DATA TRANSFER SYSTEM,Provides the vehicle for transmitting data between different Data Centers and CPUs.,,,
Data Validation Control (DVC),The purpose of DVC Query is to run all the active rules to write the exceptions in DVC Exception table.,,,
DATACENTER WRITTEN APPLICATIONS,Legacy Motor Club/Client File CICS DFxx Transactions,,,
DB Conversion Alert,Alert Suite,,,
DB2 ENVIRONMENT FOR REPORTS AND SUBSYSTEMS,"Report processing generated at month-end from DB2 extracts derived from Sceptor, SRLink and Pro-Cede.",,,
DBA REPOSITORY,This database will store SOX auditing data for all Oracle databases.,,,
DC Tracking LBL Transaction,"This application (and underlaying database) will assisting in tracking the inventory of policies associated with LBL (Lincoln Benefit Life) Transaction. Along with policy inventory, it will also help in distinguishing Resolution Life vs Allstate retained policies and associated economics.",,,
DCI ALIR DC DMV TRANSMISSONS,Send files between ALIR and District of Columbia DMV,,,
DCI ALIR NE DMV Transmissions,Send files between ALIR and Nebraska DMV,,8,
DealerTrack v6.7,A hosted web based menu system,,,
Decision Point (MDP),User facing vended app from Mitchell that provides Auto Med Bill Repricing,,8,
Deconvert - RW117x,RW117 retreives data unloaded from the Polaris queue. Deconvert creates field lables and passes it onto the downstream Alert system.,,8,
Dedicated Virtual Desktop,Allstate's Dedicated Virtual Desktop Solution,,8,
Deductible Payment Desktop Automation,This is a desktop application that uses OpenSpan to assist users processing deductible payment tasks within NextGen.,,8,
Deerbrook Agency Dashboard,"Allows the Deerbrook agents to log in to the desktop and see any urgent news, update their agency information (including creating new login IDs) and launch Interlink). It is a portal based on state and role.",,,
Deerbrook Consumer Site,"Deerbook Insurance consumer site where consumers can get product information, pay their bill and get claim reporting information.",,,
Deerbrook Policy Document View,"This application provides Deerbrook agents with the most recent dec page for Deerbrook policies, retrieves from EDMS and is launched from within Interlink.",,,
Depository Trust Company Trade Suite,Receives a confirm file from the Depository Trust Company that confirms all trades. The DTC application sends an affirm file to Depository Trust Company (DTC),,,
Desk Flow Enterprise Client v7.9.20,The product is a desktop app which communicates with an app server and database hosted by the vendor. It is designed to facilitate executive recruitment by maintaining pools of suitable candidates and associating them with specific opportunities; as such it operates as an inversion of normal recruitment tools.,,,
Deskflow Enterprise Profile Importer V7.9,Profile Importer parses selected profile pages on business networking sites such as LinkedIn and imports the parsed data to the Deskflow database as the basis of executive recruitment activities.,,,
Desktop Analytics,The CICs orginaly evaluated eLoyaltys Desktop Analytics product which will compliment the Behavior Analytics product which is currently being implemented to 1000 CIC reps in Woodridge and Charlotte. eLoyaltys Desktop Analytics product which will compliment the Behavior Analytics product which is currently being implemented as a POC to 240 ECO reps in Charlotte.,,,
Deustche Bank Internet FTP,FTP connection to Deutsche Bank. We send them Securities Lending asset availability file generated from Global One. Deustche bank is a counterparty for sec lending. eqfinance.db.com,,,
DEVX,The site is designed to help Product Operations employees (aprox 900 employees) a quality development plans. It is a content driven site that utilizes TeamSite for managing files and publication of content.,,,
DIA - Data Integration Architecture,Data Integration Architecture. This is the TIBCO/BW-based integration framework used in Investments.,,8,
DIA Tracker,This application is a graphical representation of feeds within the DIA environment. This application will only cover feeds in which DIA has control over.,,,
DID Monitoring Dashboard,"DID Monitoring Dashboard is to monitor various DID specific ETL jobs, PET Jobs, Total running and long running database sessions against NG Primary and Secondary, CPU utilization, ADG lag etc. all in one place. This dashboard resides in the Excelsius environment with a dedicated Oracle Database.",,,
Direct Loyalty IVR,Direct Marketing calls which perform CIC Authentication and transfer to CCC.,,,
Direct Marketing IVR,Route Sales calls from the TFNs that route to the Direct Marketing application to use Time of Day logic and transfer to Agent Locator. The call will be redirected to the CCC if not answered within 20 secs. Note that FL and NY Auto calls will be transferred to the Vail Agent Locator instead of the Allstate Agent Locator.,,,
DISABILITY CLAIMS,"Handles all the processing involved in a disability claim, from the receipt of claim/loss information to the payout of the claim.",,,
DISCOUNT TIRE,https://www.onlinecreditproducts.com/discountTire/ - externally facing ARS website,,8,
DMS,Dental member & provider servicing,,8,
DOC Inquiry (State Filings),Doc Inquiry is a copy of the EDMS Web UI that has been altered for the State Filings area within Law and Regulation to facilitate the specific searching that they do.,,8,
DOCUMENT PROCESSING SYSTEM,The Legacy Document Processing System (DPS) application provides a reusable service component application to enable background generation of documents & deliver via US Mail or e-mail-Mainframe based,,,
Docupace EPACS v2.19,"Docupace is an industry leader in delivering SEC/FINRA compliant paperless processing systems to financial services firms. Our document management and workflow solution simplifies the process of capturing, organizing, routing and accessing information.",,,
dom4j v1.3,"Used for AIC Framework. Open source library for working with XML, XPath and XSLT on the Java platform using the Java Collections Framework and with full support for DOM, SAX and JAXP. For use with STP Middleware",,,
DoNotSolicit Delete Files,A scheduled job to delete files weekly generated by Web Scrupping Tool/donotsolicit.,,,
DoNotSolicit File Scrub Job,A windows service work as part of web scrubbing tool (donotsolicit).,,,
donotsolictwebsvc,"A web service used by web scrubbing tool, donotsolicit",,,
dotMAX,"dotMAX processes financial and statistical transaction for premium,claims and agent comp.",,8,
DOWNLOAD,Cycle Exception Clearing and Reporting,,8,
Download Unique ID,That page just allows you to enter an agent number and get the DUID back if that ID is registered for BoB Download,,,
DOWNPAYMENTS REMITTANCE,"The application allows agents to select state line company combinations and display the downpayment rules, exceptions, and effective dates.",,,
DPN - Distributed Payment Network,"Move money in cash queues between CPUs, regions, and to external Flood vendor.",,,
DRAE - Data Research & Analytics Environment,An Oracle Exadata environment used for various groups to provide ad-hoc data-wharehouse capabilities.,,,
Dragon,Policy administration system for Excess and Surplus policies,,,
Dragon Designer Tool 4.1.3.8,"Used to configure most aspects of the Dragon application, including workflow, product-definition, and object model, as well as interfaces to legacy and third-party systems.",,,
Drama,Derivatives Reporting and Maintenance application. As the name implies it is used for creating a few derivatives reports,,,
DRCREF AND DRMLaw Application,Tool used to track Claim cases under litigation.,,8,
DRD - DIVIDENDS RECEIVED DEDUCTIONS,Life Companies have separate mutual fund accounts and Allstate is owner of these accounts. These mutual Funds pay dividends to Allstate and Allstate takes deductions based on those dividends,,8,
Drivewise Customer Support Team Website,"Customer-facing website exposing recent trips, driving behavior, current and projected savings, and related content.",,8,
Drivewise Customer Website,Enables Customer Service Reps to address customer service inquires and manage day-to-day operation of Drive Wise Progrm,,8,
Drivewise Device Management,"Acquires data from devices, updates device confi, and manage the Over-the-Air updates to device firmware.",,,
Drivewise ETL,Transforms trip summary files into a standard form and distributes to internal data stores,,,
Drivewise Logistics,Supports device inventory management and order processing,,8,
Drivewise Mobile - Android,Android version of the Drivewise Mobile app supporting the 1.0 variant of the Drivewise discount program.,,,
Drivewise Mobile - IOS,Drivewise Mobile app supporting the Drivewise 1.0 discount-based program for iOS devices.,,,
Drivewise Mobile Middleware,"Provides services for Drivewise mobile app, handles interface to external partners - such as Infosys for the Drivewise Star Driver program.",,,
Drivewise Reports,A set of reports written by Decypher (for Product Operations - Vehicle Product Management Drivewise) as a interim solution to view Drivewise information.,,8,
Drivewise Star Driver Customer Website,Star Driver is a service offering for customers which encourages safe driving behavior of teens. The purpose this web application is to enable a process by which a parent and teen can formalize an agreement on accepted driving behaviors and view actual driving behaviors. Actual measurement of those driving behaviors are facilitated by the Drivewise Mobile application. This consumer/parent facing web site is launched via SSO from MyAccount.,,,
Drivewise Trip Data Router,Receives and forwards Trip Data files to internal/external partners as well as Trip Removal.,,,
DSI Market Mgmt Info Network,"Collects, organizes and stores data from several sources (Customer Data Base (CDB), Claims Data Base, Agent Boatdec, Household Data Store (HDS), and Loss Report System (LRS) into historical data warehouse for use in MMIN application. This component is es",,,
DTY - Digital Thank You,Digital Thank You,,,
Duck Creek Rating Example Author,"Authoring component of the Example Server product which enables insurance providers to quickly transform their products into web-enabled services such as rating, underwriting and policy processing",,8,
Duck Creek Rating Example Server,"enables insurance providers to quickly transform their products into web-enabled services such as rating, underwriting and policy processing",,,
E-POLICY ADMINISTRATION,Web service initially to support the e-policy enrollment eligibility by state company and line,,,
E-Status,EStatus is a program designed to generate and send email based on pre-defined templates created with its Add/Edit Email Template tool. These templates are mainly the agent welcome letters used in Licensing & Contracting,,,
EA Agency Business Results,Monthly report for exclsive agents - These are surviving components of an otherwise retired application,,,
EA Web Scrubbing Tool,"Allows agents to identify leads w/out a DNS or DNC in HRM. The Web Scrubbing Tool facilitates compliance with legislation regarding the telemarketing of products and services to customers and prospects. It maintains a DB / website where agents access individual phone numbers and addresses, or scrub lists for existing Allstate customers and Call/Mail limitations. This will be replaced with the new FACTA/ICS replacement in July 2012.",,,
eAgent,"eAgent is a web-based Agency Management System which enables agents to perform day to day operations such as limited policy view, limited household view and book of business level customer search.",,8,
eAgent Email Drip Campaign,Custom application that creates emails based on specified events in eAgent. The actual emails are created by the eAgent Email Program.,,,
eAgent Mobile Android App,eAgent for Mobile Android App,,,
eAgent Mobile iPhone App,eAgent Mobile iPhone App,,,
eAgent Print Driver,Component that is deployed on agent machines to allow documents to be easily uploaded into eAgent.,,,
eAgent Print Driver OCR,Application that performs optical character recognition on files that are input through the eAgent print driver. This is done to match to a customer or policy.,,,
eAgent Scan Application,Application installed on agent machines to allow scanners to upload documents into eAgent.,,,
eAgent Support Tool,The support tool website that is used by the eAgent implementation team.,,,
EAR - Enterprise Architecture Repository,Allstate branded application name for the TROUX vended product,,,
Early Claim Warning System (AFT),Processes data from OTIS application and Transcend to allow Risk Management to analyze claim information - based on early claim records (death claims for policies within four years of the effective date).,,,
Easy Pool,"EasyPool (Electronic Pool Notification -EPN) is now the industry standard for agency mortgage-backed securities pool notification. It brings the benefits of automation and innovation to the mortgage-backed securities (MBS) marketplace, and it enables users to reduce risk and streamline their operations by providing an automated way for sellers to transmit MBS pool information to buyers in a quick, efficient and reliable fashion.",,,
EasyMatch,EasyMatch is a vendor hosted solution accessible via browser,,,
EBI Deployment,"The series of .bat files, .vbs scripts, drivers, deltas and application packages that are utilized as a part of the EBI deployment process. This code is housed on numerous servers and sharepoint.",,,
EBI7 Deployment Tracking Utility,Utility tool for the EBI7 team to manage the EBI7 rollout,,,
EBIPO - Enterprise Billing Information and Payment Options,"EBIPO is a voice touchtone billing IVR application similar to Voice CRCW. It is used by customers to pay their bills. The goal of EBIPO is to provide secure payment card information by reducing redundant data gathering and storage, implement PCI security controls across the secure payment solution and remediate applications and business processes as required to utilize secure payment card processing.",,,
EBP - ELECTRONIC BILL PRESENTMENT,Includes functionality for both Allstate eBill and CheckFree eBill,,8,
eBridge Document Repository,This is the document repository for the eAgent (AMS) application we bought from eBridge. Note this is externally hosted and will be used until migration to EDMS is completed.,,8,
ECLIPSE,Eclipse is a mechanized policy processing system used to process commercial property policies. It mechanically issues new business: renewals: endorsements and audits from online transactions. Statistical and accounting information are also passed.,,,
Eclipse Illustration Software,Desktop-based software used by agents to quote & illustrate Allstate Financial's life insurance products. This system is used by all life reps to run reprojections for inforce and illustrations for NB.,,,
Economics Web Site,Legacy web application for key economic information and reports (used by planning entities throughout Allstate),,,
EDGS 1.Â­x Batch,Orchestration layer (via unix shell scripts) for doucment composition for scheduled batch doucments.,,,
EDGS 2.x Batch,Orchestration layer for doucment composition for scheduled batch doucments.,,,
EDI EFT AUTO GLASS,"Processes invoices for Glass, Rental, Pro, Tow, Medical Services. Creates simple claims from invoices for Glass and Tow.",,,
EDI Mainframe,This application has many function that it can execute which include the following areas from billing acquisition and audits to change of address. (See Application run book for details),,,
EDI358,"Website allows users to choose display options - Daily, Weekly, Monthly and Yearly report of totals. Policies count by Tracker Name/Lien holder Name.",,8,
EDMS - Enterprise Document Management Services,Enterprise Document Management Services - This system is a hybrid of a vended product (Oracle ContentDB as back-end repository) and an Allstate-developed user interface. Nearly 50 separate applications access EDMS.,,,
EDMS Preprocessor,The EDMS PreProcessor is used to process client documents to conform to EDMS standards prior storing them in the system.,,,
EDMS WebUI,The EDMS WebUI is used by EDMS clients to search for documents stored in the EDMS system.,,,
EDP-CLAIMS,"CC EDP Claims is generating a print data stream for OPC for Claims related documents such as NF10s, status letters, EOBs & Checks",,,
EDP-FCRA,Customer Communications EDP FCRA(Fair Credit Reporting Act) is responsible for generating a print data stream for OPC to generate FCRA related documents.,,,
EDP-MASS MAILING,"Customer Communications EDP Mass Mailing (or one time mailing) is a manual process responsible for generating a print data stream for OPC. EDP MM creates and send the print data stream to the data center/output center for processing, printing and mailing to the customer. EDP MM receives input from the Audit team (Allstate) or the Interlink team (Encompass) and converts this data into the mailing packages",,8,
EDP-PRE-ISSUANCE,"Custmer Communications EDP Pre-issuance team is responsible for generating a print data stream to OPC for Pre-issuance Trailing Document package, MD Agent package, Auto AQT Quote package, and PAK letters. Xenos convert AFP print streams to PDF format snet to EDMS repository",,,
EDP-REFUNDS (Billing & CRRS),Customer Communications EDP Billing is generating a print data stream for OPC to process CRRS/CDB Refund checks,,,
EDP-SCHEDULED ACTIVITY,"Automated process responsible for sending pre-renewal (and sometimes non-renewal) letters' print stream to OPC during nightly batch runs. Also responsible for sending Certificates of Insurance. EDP SA create and send the print data stream to the data center/output center for processing, printing and mailing to the customer. EDP SA receives input from the CC Output team and converts this data into the mailing packages",,8,
EDUCATION BLUEPRINT,"The goal of the Allstate Agency Distribution (AAD) Education Blueprint project is to provide the field sales producers, agency staff and leadership with an automated web-based facility to view educational offerings. Currently running DB mainframe utlities under the job names - AKK0#018 (Roanoke)",,8,
EDW,"Batch Jobs - PDEWxxxx, WPBxxxxx, WPExxxxx, WPI999xx, WPKxxxxx, WPQxxxx, WPTSCON4, WPTSSES4",,,
EFS Partnership Reports,AFT Shared Intranet Distribution Technology Service. These are producer facing reports available on SMART and AFS QuickLinks. The reports provide information of EFS partnership on inforce policies. Reports developed in Crystal Reports.,,8,
EFT RIPS,Electronic Funds Transfer Returned Items Processing System,,,
eGain Service v9,Routes and classifies all Internet inbound email,,,
"eGRC (Enterprise Governance, Risk and Compliance)",Web solution deployed as a SAAS model (security issue pending) to provide business process workflow for Internal Audits day to day operations,,8,
EIP TIBCO Utilities,The EIP Tibco utilities are a suite of administration utilities to aid the Tibco operations team in managing common functions performed in all of the TIBCO environments.,,,
EISWEB - ENTERPRISE INFRASTRUCTURE SERVICES WEB,A collection of web applications supporting the management of the infrastucture.,,,
EISWEB - RackView,Graphic representation of Rack/Server physical location and attributes,,8,
ELEARNING,Website hosting learning content. A collection of learning material that is accessed via hyperlinks in two MS Publisher documents. (Supported by ATO Learning & Development),,,
ELECTRONIC CHECK REQUISITIONS,This application is used to create payments for vendors & other entities (JV uploads). These payments are fed into SAP for processing.,,8,
ELECTRONIC DOCUMENT PROCESSING,"The Production of Customer and Agent Documents for Allstate Protection including Billing Documents, MAI TDOC, Scheduled Letter and Special Mailings.",,8,
eLink,"e-LINK Trade Linking Application will provide the Trade Linking capabilities for IRS (Interest Rate Swaps), RSAT linking capabilities for IRS and CDS (Credit Default Swaps),Tax Straddle linking capabilities for CDS.",,,
Email Accuracy,Supports linking email addresses to the actual employee.,,8,
EMBLEM,software package delivering Generalised Linear Modelling (GLM) capability to commercial enterprises,,,
eMoney 360,eMoney is a web-based client relationship-based financial and wealth planning system to be used by Allstate Exclusive Agents and Exclusive Financial Specialists,,,
eMoney Pro,Client relationship-based financial and wealth planning system to be used by Allstate Exclusive Agents and Exclusive Financial Specialists. The eMoney Pro version of the product includes Financial Planning capabilities that eMoney does not,,8,
Empirix Voice Watch,Voice Watch is a managed service that Empirix provides (the enterprise currently uses other Empirix offerings) that will allow us to proactively test/monitor our voice platforms and toll-free numbers to insure the best possible customer experience by alerting technicians to possible voice infrastructure issues,,8,
Employee Community,A enterprise social network/application for allstate employees based on the Sitrion Social product,,,
Employee File,"Application allowing the user to view their performance reviews, compliance agreements, performance criteria and tax withholding information.",,,
EMS-PEM IM-PM,PEM team Web site for Incident and Problem management.,,,
Encompass,"Includes all CICS Encompass Transactions and Batch Jobs - P65689, ROP140041 and Application codes: P65689, PDB, ROP140.",,8,
Encompass Agency Accounting System (AAS),"This application is specific to Encompass Independent Agents. Mainframe based application that receives premium-for-commission transactions, agent payments against balance, and calculates commissions.",,,
ENCOMPASS AGENCY LOCATOR,Application is based on the TACTICIAN product and is part of the Encompass Comsumer Web Site that locates agencies within Zip-Code areas and provides maps to agent locaions.,,8,
Encompass Agency Scorecard,"This application provides metrics that allow our Field Product Management Team to review and monitor agency production, performance, and other activity which, in turn, facilitate the development and monitoring of agency focus plans.",,,
Encompass Agent Dashboard,"This application was Desktop, but now it is Dashboard. Includes all applications found within the Encompass Agency Desktop (with the exception of InterLink). Gateway used by independent insuance agents to access information and applications used to market, sell and administer Encompass products.",,,
Encompass Billing Inquiry,A web based application that allows agent to use policy number and retrieve assocated policy information for bill.,,8,
ENCOMPASS BUSINESS OBJECTS/INFOVIEW,A reporting and analysis tool used for creating and running reports and performing analysis of data based on Business Objects tool,,,
Encompass Claim Inquiry,"Use policy number or claim number to retrieve claim information. Other features: loss run, general insured and claim information.",,,
Encompass Claim Recon,Matches Encompass claim payments with statistical data. iMAX passes the statistical Claim data to the system & ACT system passes payment data. The business client can enter adjustments as needed to assist in the reconciliation process. Loads the results of the matching process to mainframe DB2 tables used by business client in Operational Accounting to runs reports.,,,
Encompass Claims PLUS II,Personal Lines Claims Adjuster Claims Processing Application - rewrite of original app in .net environment,,,
Encompass Consumer Site,"Consumer facing site which gives users the ability to search for an Encompass agent by zip code, send high level information for a quote or to pay premium amounts due via credit card.",,,
Encompass Customer Billing System (CBS),"Legacy billing system for Encompass. While no longer actively billing policies, the systems IMS onlines are still kept up to provide the required 24 months of billing data which is stored on the IMS databases on the Encompass mainframe MVSSYSB",,,
Encompass Customer Index (CI),Legacy CNA/PI - account master for policy holder and interested party accounts,,,
Encompass Data Warehouse,"This entry represents the Encompass Data Warehouse: Independent agent business, both premium and claims, is brought together into the data warehouse for the purpose of providing information to the Finance, Product Operations, Pricing, Marketing, and Dist",,,
Encompass Hagerty Download,"Downloads claim adjudication documentation in PDF files from the Hagerty webserver, and stores them in EDMS. Uses MS Access for a data base.",,,
Encompass IA Print Service Portal,The service would provide a web-based Encompass specific print portal where Encompass agents can procure custom (agency branded) marketing materials,,9,
Encompass Insight,Data analytics utility used to generate queries/reports of regional pricing data. Insight provides business users access to the information stored in the Actuarial Data Mart (ACTMart).,,9,
Encompass Loss Coding (ELC) Reports,This is a website that provides reports on the data from the Encompass Loss Coding application.,,,
Encompass Motor Club,"Encompass Motor Club is a web application, providing the Motor Club Call Centers with ability to verify coverage and perform claims for towing. Integrates with PLUS and Motor Club database.",,9,
Encompass Policy Document View,"The Policy Document View application is a web based inquiry application allowing Agent and Employee users access to insured specific, Encompass policy documents including Bills, Renewals, Auto ID cards, Declaration and Endorsement documents in PDF format.",,,
Encompass Policy Forms eLibrary,The Policy Forms eLibrary is a web based application allowing Agent and Employee users access to general Encompass policy documents in PDF format.,,,
Encompass Policy Tracking,Application used to monitor and display progress/location of policy in processing flow,,,
Encompass Premium IA-EDW,Balancing of Stat Interface Encompass data to iMAX and passing it to IA-EDW,,9,
Encompass Profit Sharing Manual Adjustment Tool (MAT),Tool which allows business to manually adjust Profit Sharing data and add new agent and control access to Profit Sharing Reports,,9,
Encompass Redirect Claim Check IVR,This IVR application will route calls directly to the local Encompass Claims offices for customers to check their claim payment status.,,9,
Encompass Reporting Analytics Agency Data Mart,"Agency Data from IAEDW and Interlink, in a daily, weekly, monthly grain aggregated and presented with an Xcelsius dashboard for Field Sales Leaders.",,,
Encompass TeamSite / Interwoven,Encompass TeamSite / Interwoven,,9,
ENCOMPASS-TARGET,Encompass claim report generating application.,,,
EncompassDbase,"The EncompassDbase website allows users to document all of the claims checks that are received daily. It holds the data so the user can view past dates to view previous work. Several reports are generated by types of claims, daily reporting and summary reporting. Batch loading is accomplished by the user importing excel files. Activity is captured in a log file. This website is critical to maintain for the PCCSO Support team since using this website is the majority of their daily work.",,,
End Point Profile Manager,EPP Manager is a C# application that extracts Independent Agent information and Exclusive Agent information from a set of DB2 tables in support for their respective BOB download processes. This vended application exists for IAs and EAs,,9,
ENHANCED BILLING COMMUNCATION,"This is a multi-platform application that doess pre-genreation, generation and fullfillment of Billing Documents on a new platform called exstream/dialogue",,,
ENS - ENTERPRISE NOTIFICATION SYSTEM (ENS Event Processor),ENS Q Service / Main Processing Engine for ENS-Alerts -- 24X7 and 365,,,
ENS - ENTERPRISE NOTIFICATION SYSTEM (ENS GUI),"ENS - ENTERPRISE NOTIFICATION SYSTEM -- Allstate Event Management. The Enterprise Notification System GUI is an interface into the Alert Model. It allows for the creation of Notification groups, methods (email, pager, ticket) and templates.ENS is also made of Web Services and .Net Processing Service.",,,
Enterprise Certificate Management,"ECM is a new process designed to track digital certificates within the Allstate enterprise and involves the Service Catalog/SQL-DB(as SOR) and ServiceNow as the final data repository. Metrics and Reporting concerning expirations per department/group along with 90/60/30/14 day notifications to the certificate owner, manager and group prior to certificate expiration to avoid enterprise outages.",,,
Enterprise Document Generation Services (EDGS),A set of reusable services that enable the design of client document templates and generation that merges client data with their document templates to compose documents for distribution.,,,
Enterprise Electronic Signature Service (EESS),"Enterprise Electronic Signature Service provides the ability for external users to electronically review documents, provide an electronic signature, return documents to Allstate electronically, or the ability to manually print, sign and mail wet signature documents to Allstate.",,9,
ENTERPRISE EVENT REGISTRY,Application will be used for exposing the GUI for Event subscription maintenance.,,9,
Enterprise IIS Web Virtual DMZ - Farm,This entry is needed for the Enterprise IIS Web Virtual DMZ Farm Project.,,,
Enterprise IIS Web Virtual MPN - Farm,This entry is needed for the Enterprise IIS Web Virtual MPN Farm Project.,,9,
Enterprise Mass Mailing Application,This application is an Email Mass Mailer Assistant that sends an email to every employee matching the recipient (ad hoc) criteria selected. Â A resulting email is sent to the scheduler of the message and to ntjobs@allstate.com. Â An audit email is sent to ntjobs@allstate.com each time the program runs.,,9,
ENTERPRISE METADATA REPOSITORY,"Batch Jobs - KGB00xxx, KGF999M8, KGI999xx, KGKAxxxx, KGKDAxxx",,,
Enterprise Payments Feed to SAP CD,Enterprise level TIBCO application which feeds Payments to SAP CD. New component build for PCI Scope reduction program to support data feeds to SAP C/D,,9,
ENTERPRISE PRODUCER COMMISSIONS,Commissions Calculation System for MBA agents,,9,
Enterprise Producer Service (EPS),An Application that provides various capabilities to retrieve agent information.,,,
Enterprise VIN Utilities,A collection of VIN related utilities to be consumed by multiple Allstate Applications,,9,
Entertainment Log,The Application is currently utilized by Allstate Investments to log the Entertaintment Activies carried by Investment Employees with non-Allstate Employees.,,9,
eOffice Website,"Intranet site used by Field Leaders to access applications, process documents and for communications.",,,
EPC - Commission Statements,Create and distribute Commission Statements to MBA producers,,,
EPC - Interfaces (SI Layer),"EPC System Integration includes AbInitio, ACORD, TIBCO, CMF, Producer Disbursements etc",,,
EPC - Reporting,Enterprise Producer Commission Business Object and Crystal reporting solutions,,9,
EPC Launch Page,Custom written HTML/C# launch pages to run Crystal reports,,9,
EPCMWEB,Enterprise Performance and Capacity Management Report Access Application,,9,
EPCS-Common UI Application,Web application that will facilitate collecting payment card information for all e-commerce applications across the Enterprise to facilitate Tokenization process.,,,
EPCS-Diagnostics Utility,A web application that will provide Diagnostic and Production support data for the entire EPCS Solution.,,9,
EPCS-PaymentCard BIN,Process that will reside within the Protected Network that will integrate with Chase Paymentech to retrieve BIN (Bank Identification Number) files.,,9,
EPCS-Reporting,"Proces that will reside within the Protected Network that will produce reports that will give visbility into summarized views for Transaction Volume, Response Time, and Errors",,,
EPCS-Test Harness,Application that will be deployed to test environment that will integrate with EPCS - common UI.,,,
EPIC/Juniper Database of Switch Logs,EPIC database of Switch Logs. This is mandated to be kept for 5 years. 2014 is expiration date.,,,
EPM Prism Adhoc Universe,EPM Prism Adhoc Universe is a Business Objects universe built for Adhoc reporting on Prism data. Supported by ATO PDO,,9,
EPS - Payment Exceptions Web / SAP FS-CD Workstation,Enterprise Payment System Workstation utilized by CES to handle Payment Exceptions clarification and Reconciliation processes.,,9,
EPS - SAP FS-CD Card Settlement Integration With ORBITAL (External),TIBCO SFTP engine handles outbound Batch XML file to Orbital (Chase Paymentech) Landing zone B2B. TIBCO SFTP engine handles inbound Batch XML and CSV files from Orbital (Chase Paymentech) Landing zone B2B.,,,
ERD 2.0,Employee Remote Desktop - is the published applications,,,
Error Review Workstation,Mainframe system used to log and view errors in the propagator batch runs,,,
ESAT - Economic Scenario & Allocation Tool,DEVELOPMENT NOT COMPLETED. No plans to complete or roll-out. ESAT is an Economic Scenario & Allocation Tool which deliver a robust and less time-consuming Investment Strategy Planning and Forecasting solution.,,9,
eSight Energy,eSight Energy is a web enabled application that will enable Allstate to perform analysis and reporting of energy monitoring data.,,9,
ESM Application Portal,ESM Application Portal is Showcase Application for the tools and capabilities that ESM Supports,,,
ESM Web Service,Custom Web Services Web Site for diagnostic and automation capabilites.Used to extend the monitoring capabilities of Onesight.,,9,
ESS Group,Used as a reference again for LBL policies. The data is input manually. Keeps track of group bills. Once entered the notification is sent to Gary Arnold from Technology,,9,
EUC - Encompass Agency Lookup,Web application to quickly lookup Encompass Agency status/assignment information. EUC is Encompass Underwriting Center formerly RMC (Risk Management Center).,,,
